Construct,Item,B,SE,Î²,t,p,Sig,Type
PE,PE2,0.16784421561706303,0.03961573228783388,0.1768369154614371,4.2368070946553855,2.9047030751128133e-05,***,UTAUT2
EE,EE1,-0.013669070185963417,0.033626983006480066,-0.011986326351174647,-0.40649112599037884,0.6846309255674763,,UTAUT2
SI,SI1,0.13527071683043126,0.032832047190524245,0.14117870392729212,4.120081700828943,4.7345843179114055e-05,***,UTAUT2
FC,FC1,0.024848824999094785,0.02843746051517507,0.02578543759494577,0.8738060483929188,0.38282474536265143,,UTAUT2
HM,HM2,0.1503654785832189,0.041581762589039464,0.1593008157422658,3.61614008692488,0.0003430946704268134,***,UTAUT2
PV,PV2,0.21232473580030162,0.0403220075126397,0.21766672517677368,5.265728293258821,2.4466900416797444e-07,***,UTAUT2
HB,HB2,0.06820245804375796,0.029987048466820737,0.07918306564473693,2.27439716580379,0.023548558301233813,*,UTAUT2
VO,VO1,0.0695270815660669,0.033452348957567865,0.07712624600512151,2.0783916147191186,0.03840358903646002,*,UTAUT2
TR,TR2,0.0880620022447929,0.038199143977783276,0.09122707301904265,2.3053396771406707,0.021733560553887976,*,AI-Specific
EX,EX1,0.0682264808925362,0.02882318041759693,0.06880588179880293,2.367069834211739,0.018474656822200952,*,AI-Specific
ER,ER2,0.0032803264638588117,0.03134602015359705,0.0029291626248434508,0.10464889793935721,0.9167145279354765,,AI-Specific
AX,AX1,-0.10074274530998786,0.031664971764742623,-0.09875469084172428,-3.181520137092303,0.0015964718016547863,**,AI-Specific
